	S004_0w	S004_4w	S009_0w	S009_4w	S013_0w	S013_4w	S021_0w	S021_4w	S032_0w	S032_4w	S033_0w	S033_4w	S035_0w	S035_4w	S037_0w	S037_4w	S044_0w	S044_4w	S055_0w	S055_4w	S056_0w	S056_4w	S064_0w	S064_4w	S070_0w	S070_4w	S071_0w	S071_4w	S072_0w	S072_4w	S076_0w	S076_4w	S081_0w	S081_4w	S090_0w	S090_4w	S091_0w	S091_4w	S095_0w	S095_4w	S096_0w	S096_4w	S100_0w	S100_4w	S105_0w	S105_4w	S106_0w	S106_4w	S113_0w	S113_4w	S115_0w	S115_4w	S117_0w	S117_4w	S127_0w	S127_4w	S128_0w	S128_4w	S139_0w	S139_4w	S140_0w	S140_4w	S142_0w	S142_4w	S144_0w	S144_4w	S150_0w	S150_4w	S005_0w	S005_4w	S008_0w	S008_4w	S011_0w	S011_4w	S016_0w	S016_4w	S019_0w	S019_4w	S023_0w	S023_4w	S028_0w	S028_4w	S031_0w	S031_4w	S034_0w	S034_4w	S036_0w	S036_4w	S041_0w	S041_4w	S045_0w	S045_4w	S053_0w	S053_4w	S057_0w	S057_4w	S059_0w	S059_4w	S065_0w	S065_4w	S077_0w	S077_4w	S078_0w	S078_4w	S080_0w	S080_4w	S082_0w	S082_4w	S085_0w	S085_4w	S107_0w	S107_4w	S109_0w	S109_4w	S112_0w	S112_4w	S114_0w	S114_4w	S120_0w	S120_4w	S121_0w	S121_4w	S122_0w	S122_4w	S123_0w	S123_4w	S130_0w	S130_4w	S131_0w	S131_4w	S138_0w	S138_4w	S148_0w	S148_4w
2-Hydroxybutyric acid	38.1704633429901	0.0	0.0	0.0	477.435087069465	0.0	0.0	0.0	1792.97188143086	1137.61850732719	51.5002771245128	0.0	0.0	0.0	0.0	0.0	18.9386177320438	0.0	0.0	0.0	61.015321181903	121.754305512424	0.0	0.0	0.0	0.0	70.6628348176812	86.502295608761	0.0	0.0	0.0	0.0	0.0	180.313024820273	0.0	0.0	49.9860478584123	0.0	0.0	0.0	0.0	71.986621893904	0.0	35.8491478824454	27.9726332715732	49.5753163408503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.8005653654216	0.0	59.2684846513256	0.0	0.0	124.030935369416	80.9800534538634	69.8292313415974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.7175577008167	0.0	28.4478670118609	49.5856516943593	34.2958330856307	0.0	32.2929875021116	0.0	53.9673714025283	0.0	0.0	0.0	0.0	63.9974667410351	0.0	36.5470696860612	0.0	0.0	61.6099996021122	107.590273952169	278.690192422266	81.1083690318887	0.0	0.0	0.0	0.0	0.0	0.0	50.7968911639061	66.2023487581733	0.0	34.2677623278914	107.06554085501	58.5111192025368	186.670514037068	823.556108331221	0.0	0.0	133.019877667248	96.53313227048	0.0	0.0	0.0	0.0	98.3404617072804	91.3594619057506	20.6621456328912	0.0	56.6582609563167	0.0	0.0	474.602732583119	0.0	31.1490287765978	0.0	403.569710684521	68.1599717307558	558.047720025268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2-Oxoglutaric acid	0.0	0.0	0.0	0.0	0.0	0.0	45.551370778720496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.6891906702439	0.0	0.0	0.0	72.8835015225915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.5884182235771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.9523282115055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.23739397121	0.0	97.3913032774391	73.874631545036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.1028401384215	0.0	0.0	0.0	0.0	79.4934436083565	0.0	53.4299053812931	0.0	0.0	0.0	0.0	0.0	0.0	90.7189866905634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.7253599680992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.3317138702603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.7656915371114	0.0	0.0	0.0	0.0	68.56960469066	0.0	64.117517545878	0.0	0.0	0.0	0.0
2-Oxoisovaleric acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.2618646977297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2-Phosphoglyceric acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3-Hydroxybutyric acid	91.5372214988494	84.6939157198443	82.2772571302918	63.6530084846335	276.28161905421	65.1953613123966	222.822980668098	526.103784624305	823.259209478367	5697.00703817579	79.3643392646137	0.0	65.924606077362	112.947306356244	77.6371331929587	66.992364272828	55.2183040206542	71.3468876967149	719.609761578031	8164.28525307797	120.244085977502	188.460025972112	69.0056720107819	63.5374442150069	513.374821684226	903.944939309644	997.087415112521	85.0461920081335	53.3747460612378	490.085697869565	159.036414978386	300.365412329122	186.447871837972	192.561995525216	270.858926227548	469.752610255703	176.819092593369	213.548507100447	73.3673410752527	0.0	151.936339110152	187.736527814533	105.45794105128	164.052844127989	147.653933066409	174.390344611631	131.12313785731	893.87829520857	0.0	79.8233353012125	358.955619558957	489.50914556516	459.95829655819	309.956429995529	116.403131522296	79.4784452463638	46.2150969632706	62.1906169744886	140.322131943697	178.564875689341	157.419694735741	0.0	94.1620443329182	93.6938771958694	246.833204017203	301.505709375725	76.5867247088622	106.69289967879	230.664735473915	155.029967107405	122.934637372528	107.036195037461	79.1367146693078	99.9141033044755	106.985023584067	124.441638273377	242.424845208813	122.219851018463	106.7320458388	59.6065124917056	0.0	112.199847182679	80.2442913342656	132.069010025786	54.4686515918316	65.0962055179432	114.168475583739	156.126064332857	711.71485071244	108.925799195014	51.243089203453	75.0915301015504	155.434956496665	105.842119080501	115.675487166819	173.197968953304	153.761136714211	212.492129781468	105.554935920395	190.956744420109	403.628197174584	207.347004031195	162.339007776012	393.145233083443	71.4274294201207	60.5778878730397	123.691927694526	109.859642271037	96.3842198237401	0.0	124.661112440667	81.4863563004988	456.586931855411	160.795072756781	144.488088202806	0.0	68.0902585978951	106.773754170172	135.227417151668	846.661562515694	171.048654549909	117.059077988153	1022.9073342088	1419.93729139848	553.200931170417	1517.72387195115	144.598856134981	249.405775461819	56.3103136681822	86.9965384285831	177.885883927747	71.5142043003875	271.910739188034	1017.65069693233
3-Phosphoglyceric acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.999203484563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.9897090694364	41.1761426725774	0.0	25.3830742504693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.9065471784995	0.0	0.0	0.0	0.0	49.8212343383509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.507698764473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5-Aminovaleric acid	237.757880757141	681.422813718165	551.246166301627	1397.72485919084	3526.85371890481	453.746591696438	8025.17032836246	14652.0702068206	34461.0965577263	7581.64206854077	1653.94799225833	1678.83479880985	405.130508202419	900.120234135962	403.976468589387	485.044175083909	709.722423773037	611.642769303472	2248.66938379132	15098.722703462	1070.06982849961	962.643397071342	378.553006247334	1736.67379387059	6250.96528793594	32272.7909363535	10244.2985299739	8081.57597910985	650.445527113275	689.451528146139	702.939933527106	1122.17451741951	2162.04030404327	7328.14686428632	535.109005941769	1050.2991178225	3167.337166115	877.140603042457	598.397692065615	873.65397560935	8952.96619622864	3177.14700977985	633.984303568777	464.144736705632	417.903147861705	3771.70285579069	356.422104889387	2108.3472134776	376.46886174397	249.095579118162	689.816863813181	477.672732897524	363.141936036697	965.482815820886	498.659748839649	392.90522616393	244.682635000381	352.870128095491	337.040666513444	2995.64876104978	684.578910267378	251.761969176824	10766.3833624777	7514.43877031492	1323.24480795749	794.396571074798	411.573126978778	473.435621782786	1529.58336717754	654.310797425457	363.863584133666	507.317798538734	860.094641710686	1270.74240735202	410.57979143137	590.001705006581	1676.99249782742	585.975550024399	2896.70552647505	599.293462823541	705.762563518004	1548.59774265538	650.099843469171	575.721426850738	977.237590117805	587.242906042378	3891.64245168134	5196.75553053245	13897.5578436659	10732.4349553476	475.05077082441	513.213922529896	1878.21378889041	1944.73976122713	295.070056373368	1021.29613285002	1276.47697738007	821.601275769602	480.029660858983	539.362132615455	11177.8510230415	4034.09593192179	7477.31602398862	11687.4218275771	1025.77033648445	565.716219540587	5110.75925483275	12294.7671719637	974.475389226296	1269.48412114948	3679.33997648833	4185.01405244498	3854.18451784278	1445.48675669399	255.098801058971	232.907195519791	713.728265044984	516.491806528674	583.354555914467	14066.1587334802	658.951506316983	338.808289166471	13510.7995082237	5878.6280130428	14303.4790915454	5407.17817139136	4637.11777493793	2901.76938310857	566.586435231108	363.802680372751	599.083863112735	819.656701865477	22602.8911633938	7339.99487203749
6-Phosphogluconic acid	0.0	0.0	0.0	0.0	67.0536345492023	26.4102114232307	62.2641327301903	0.0	0.0	0.0	22.1512587283302	0.0	23.2334615346817	22.9740780176647	31.9793476263495	57.3241068657888	0.0	28.0917842667055	0.0	151.852791572429	0.0	0.0	32.6526950372549	43.4824219750566	0.0	0.0	76.2277292104977	71.9380481821549	0.0	45.4498682372293	0.0	28.9809112376842	39.0796309785735	0.0	0.0	29.607641525119	41.1177955865786	41.0851043397991	0.0	0.0	50.6733073198818	18.5412186712187	0.0	0.0	0.0	0.0	0.0	30.5140770403948	0.0	0.0	39.4499022252202	25.4960984867912	0.0	0.0	0.0	22.272604477465	21.115426475832	0.0	21.5685851624295	24.8726885753219	0.0	0.0	0.0	0.0	0.0	0.0	28.3874038725321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.868856179385	10.3820386669204	0.0	34.7524542678968	0.0	45.9835500010829	59.5423124511031	42.2498609728007	66.681801425229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.9352726947385	0.0	39.1027247870676	0.0	34.2335945874304	0.0	0.0	0.0	0.0	30.6858044113105	0.0	0.0	0.0	0.0	0.0	26.7169936563484	0.0	29.0374878048447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.5256342108833	0.0	0.0	0.0	0.0	0.0	24.2885344288559
Acetyl CoA_divalent	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.3192641042787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.8757990414526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.3801701890363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.7919391001832	0.0	0.0	0.0	0.0	32.5729349823416	0.0	0.0	87.8162088917501	0.0	7.94299118167232	0.0	0.0	0.0	0.0	0.0	0.0
Adenine	12.6416332241352	19.9950893066158	32.6788737689641	20.1102879589404	75.3690125956584	15.4862813802446	22.874732441995	130.892323071676	17.5788209488528	13.5288006940297	28.1415139214623	24.9847405170937	21.7851339319526	165.399705806626	33.7087154538987	37.1429460730167	19.4659019277725	45.0397399691273	80.4584153543517	235.371470302473	28.4738578727357	27.6726110089142	112.609848508334	264.6048727478	14.2071421292985	95.7543899277346	183.791975238271	50.2084256230826	25.6253509377492	132.231548449857	25.7151667899363	43.8127850232993	32.8721345821802	119.49371956404	19.3707394049253	22.6497606506286	92.7244878703609	59.2781042075245	13.5201426395498	12.8899490206146	42.2334856940672	59.5002176608455	20.5240569571797	24.2781953501909	42.8495638579298	131.08246634657	28.844876062216	125.65055196709	13.7493902318837	161.350344633391	121.489972843499	413.204632956965	292.394730134523	353.736449435165	14.901414859295	13.8050340394728	24.8049480066877	13.1197671345833	13.8201726842028	15.6631255520309	9.5992280598794	8.16112553544378	11.3715700807531	19.5747045083578	51.0056619751951	89.642897233772	16.011323857023	13.1348012495252	24.7750022164512	44.5699088165148	76.3353388068671	57.9141050946584	23.7860178814166	23.5095121676179	17.5576082624556	9.23008992875891	28.7002398414863	29.7172686351897	29.5128617544499	25.6739117181001	18.5926539628126	15.3375498475692	11.1832655638183	11.3901596840382	35.8846283121905	71.0633889939438	16.4474561819955	9.44197820807208	210.735845132918	276.840472731033	16.8026661906281	14.6784093050037	16.4785937406847	8.65129883217104	21.5208667234912	10.981436358977	94.1716809320526	25.9910200614676	29.5576184328155	30.0187623867529	72.3298270924682	56.121402762766	399.370129025852	282.013170791023	48.3847917459761	25.0934347197626	23.8490647819237	25.5581062860488	38.019250178746	52.679012054318	14.1925492275565	16.0355328783703	61.9142999649968	25.2869472030257	22.248757719462	18.972809116846	38.5789425419393	42.8846658670552	46.1431083610086	105.635137247754	23.1623748267781	19.5197382143417	37.4374855472837	41.9646226320291	206.26640989357	187.120185848122	29.6465682976744	29.7051032371908	15.6592111909137	18.9550911549533	39.5789741614917	33.9850265278349	361.046117133592	23.896805898024
