	S004_0w	S004_4w	S009_0w	S009_4w	S013_0w	S013_4w	S021_0w	S021_4w	S032_0w	S032_4w	S033_0w	S033_4w	S035_0w	S035_4w	S037_0w	S037_4w	S044_0w	S044_4w	S055_0w	S055_4w	S056_0w	S056_4w	S064_0w	S064_4w	S070_0w	S070_4w	S071_0w	S071_4w	S072_0w	S072_4w	S076_0w	S076_4w	S081_0w	S081_4w	S090_0w	S090_4w	S091_0w	S091_4w	S095_0w	S095_4w	S096_0w	S096_4w	S100_0w	S100_4w	S105_0w	S105_4w	S106_0w	S106_4w	S113_0w	S113_4w	S115_0w	S115_4w	S117_0w	S117_4w	S127_0w	S127_4w	S128_0w	S128_4w	S139_0w	S139_4w	S140_0w	S140_4w	S142_0w	S142_4w	S144_0w	S144_4w	S150_0w	S150_4w	S005_0w	S005_4w	S008_0w	S008_4w	S011_0w	S011_4w	S016_0w	S016_4w	S019_0w	S019_4w	S023_0w	S023_4w	S028_0w	S028_4w	S031_0w	S031_4w	S034_0w	S034_4w	S036_0w	S036_4w	S041_0w	S041_4w	S045_0w	S045_4w	S053_0w	S053_4w	S057_0w	S057_4w	S059_0w	S059_4w	S065_0w	S065_4w	S077_0w	S077_4w	S078_0w	S078_4w	S080_0w	S080_4w	S082_0w	S082_4w	S085_0w	S085_4w	S107_0w	S107_4w	S109_0w	S109_4w	S112_0w	S112_4w	S114_0w	S114_4w	S120_0w	S120_4w	S121_0w	S121_4w	S122_0w	S122_4w	S123_0w	S123_4w	S130_0w	S130_4w	S131_0w	S131_4w	S138_0w	S138_4w	S148_0w	S148_4w
(Methylthio)acetic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00110546875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001475744421699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008853488349514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1,3-Diaminopropane	0.0	0.0	0.0010784417721518	0.0	0.0017276891658676	0.0	0.0	0.0	0.0013192638578680002	0.0	0.0	0.0	0.0006222983349657	0.001309300779727	0.0	0.0	0.0	0.0	0.0007779231364956	0.0	0.0	0.0	0.0	0.0014350683054393	0.0004583892473118	0.0	0.0005526338567222	0.0008626619367209	0.0	0.0	0.0	0.0	0.0004731866341463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017470280534351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022457754735792	0.0017247957011258	0.0007057846003898	0.0	0.0	0.0007151332011892	0.0058426371769383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006528184536082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006655571715145	0.0	0.0007209479768786	0.0007401224730127	0.0	0.0	0.0	0.0	0.0070515120361083	0.000797330207305	0.0	0.0	0.0	0.0	0.0019048576374745	0.0012025290890269	0.0	0.0	0.0	0.0	0.000746666765873	0.0024240681086519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005395430707876	0.0019681590909089997	0.0019823876360039	0.0	0.0	0.0008033354709418	0.0009044718687872	0.0	0.0008877540289256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1-Aminocyclopropane-1-carboxylic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021143495365602	0.0291758622335025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028431835430784	0.0010927233870967	0.0	0.0	0.0	0.0	0.0	0.0020400718940936	0.0069756721295387	0.0105600918504314	0.0	0.0	0.0	0.0011247446788111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031891151456309996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038730026188166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038559199421965	0.0095488504816955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030201583503055	0.0	0.0	0.0034039729807692	0.0	0.0	0.0	0.0	0.0	0.0	0.0249086200206398	0.0127954244267198	0.0017333697791164	0.0	0.0	0.0	0.0	0.0	0.0	0.0117280118694362	0.0	0.0	0.0060556913827655	0.006353386083499001	0.0046635712047012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014825488612836	0.0
1-Methyl-4-imidazoleacetic acid	0.0900678203629032	0.1366322832684825	0.0114294919182083	0.0408152911678115	0.0346011534995206	0.0847563666003975	0.0449308612095933	0.0295332864057672	0.0084434617258883	0.0009985389105058	0.0069485215384615	0.0250282671300893	0.0422279768854064	0.134972101754386	0.192354677608916	0.0338618300940438	0.1149562814777327	0.2414408674901186	0.0305230261374637	0.0	0.2827565947580645	0.1880240333661417	0.0181924695825049	0.0422112536610878	0.0547383062561095	0.0343273877800407	0.0057554792934249	0.0	0.2105825097888676	0.0147899719791666	0.1166835710040983	0.0927201411313518	0.0735006981463414	0.0385983262295082	0.0541426428863869	0.1089155046370967	0.1257626499495459	0.3445837932391523	0.1233990707050645	0.0934512631274131	0.0147000784371908	0.0330536093749999	0.1092199540726202	0.3581177209375001	0.0465632729007633	0.0037060917808219	0.1317423365251727	0.0290594088349514	0.0992154289719626	0.0736558387096774	0.0223283793824701	0.0211044515789473	0.1070748696116504	0.0937576064257027	0.2188910748526523	0.0514671760890609	0.0892273509394571	0.0482173513119533	0.0118082716779825	0.0161387833	0.230942431553398	0.0471361007944389	0.0292513906705539	0.0254213030907278	0.0235399414534288	0.084115998245614	0.2012029300583658	0.1886362778915046	0.0090807019821605	0.0202335335984095	0.038906233402275	0.0547026206554121	0.0402102372586872	0.0725537159751037	0.1137749590113284	0.2326929033898305	0.0884278904663212	0.0310253097633136	0.3086540459793813	0.2227071616585366	0.05992363082125599	0.0390679685625646	0.2064829421263792	0.0499624259842519	0.21034172125903	0.203030357312253	0.0134607156469408	0.0055636162813102	0.0139057819845857	0.0356479432777232	0.1137864057312253	0.2368034916179338	0.1153115048603929	0.1308540017910447	0.0029646753259779	0.0046802692003948	0.0852986863636364	0.0580254447082096	0.0893875594567404	0.0401053514506769	0.0074904557026476	0.1246743160455486	0.0062798094768015	0.0127582197115384	0.1244900061224489	0.1471847871033776	0.0522768523809523	0.0240120251509054	0.0312096387096774	0.0871658390625	0.0112699527347781	0.0063368306081754	0.0834307941767068	0.36211557671905703	0.1052186063768115	0.3628890024557957	0.0102515904667328	0.0099774840478564	0.042214206916996	0.0096911420375865	0.0205015621756487	0.0321933259475218	0.0044100446893787	0.0073590704771371	0.0052344078354554	0.0064335793388429	0.2477772722689076	0.0968342409441232	0.1527357513513513	0.0822775094059405	0.1097957250248262	0.2547709293478262	0.0025504222567287	0.007300713394683001
1-Methyladenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009133875868917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1-Methylhistamine	0.0	0.0	0.0002334211295034	0.0004490745829244	0.0001756972195589	0.0001674680914512	0.000174220750782	0.0	0.0011075942131979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001388550822846	0.0	0.0008375844758064	0.0	0.0	0.0	0.0009814542521994	0.0001066239307535	0.0	0.0	0.0015810609404989999	0.0010317539583333	0.0	0.0	0.0003944426341463	0.0005763512054001	0.0073429533265097	0.0151310691532258	0.0003203229061553	0.0002356161453077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005066	0.0	0.0003689717092337	0.0	0.0	0.0	0.0001218436469447	0.0	0.0	0.0	0.0007343094266277	0.0009404619142572	0.0017639955987717	0.0009192673489278	0.0008631120622568	0.0022203953940634	0.0146900281466798	0.036141153280318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002288616494845	0.0	0.0006094600966183	0.0001508449844881	0.0	0.0	0.0002493638802889	0.0	0.0005667970912738	0.0001975292870905	0.0001999595375722	0.0	0.0	0.0	0.0	0.0	0.0002956272818455	0.0	0.0043321494071146	0.0032073383778437	0.0	0.0002951265957446	9.094368635437885e-05	0.0	0.0	0.0	0.0	0.0	0.0004573061507936	0.0010761199195171	0.0	0.0	0.0020882780185758	0.0014885978065802	0.0018690985943775	0.0003535731827111	0.0001215900483091	0.0	0.0001060757696127	0.0	0.0003217524703557	9.940613254203756e-05	0.0	0.0	0.0004475004008016	0.0	0.0	0.0002697928719008	0.0039312967436974	0.0040683761078998	0.0	0.0	0.0025857552135054	0.0009685315217391	0.0	0.0003910567484662
1-Methylnicotinamide	0.0	0.0	0.0005383161635832	0.0008314192345436	0.0003823998082454	0.0	0.0	0.0	0.0007222689340101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000762854757085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006032284755512	0.0	0.0	0.0	0.0	0.0006382252270433	0.0001990001009081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007063004153686	0.0008487212278876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009268238603297	0.0009719845	0.0	0.0	0.0013543554907677	0.0008847898305084	0.0	0.0	0.0	0.0	0.0017712789890981	0.0004467999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054011344329896	0.0031013711219512	0.0012775221256038	0.0011141357807652	0.0	0.0	0.0	0.0	0.0051441131394182	0.0024001666666666	0.0005928488439306	0.0004702055937193	0.0	0.0	0.0	0.0	0.0007898671013039	0.0006141795656465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010309381944444	0.0011936456740442	0.0	0.0	0.0	0.0	0.001228157128514	0.0004807282907662	0.0	0.0	0.0003119345580933	0.0	0.0	0.0	0.0	0.0	0.0002591172344689	0.0	0.0	0.00016654803719	0.0	0.0008772886319845	0.0	0.0	0.0005678115193644	0.0008449081027667	0.0	0.0
1-Methyluric acid	0.0	0.0	0.0084789861733203	0.017426728066731997	0.0044768656759348	0.0059740302186878	0.0053455834202294	0.0044959833161688	0.0019531136040609	0.0048106643968871	0.0101391539487179	0.0052449271102284	0.0036077435847208	0.0065261761208577	0.0006307532928064	0.0	0.0017777818825910003	0.0	0.00259137357212	0.0040800806451612	0.0012874762096774	0.0015861774606299	0.0182448328031809	0.0179358777196652	0.0112076568914956	0.0042045887983706	0.0053600817468106	0.0076359302972195	0.0134004905950096	0.0029502929166666	0.0097608786885245	0.0084615534995206	0.0104626869268292	0.0136010213114754	0.0197239896622313	0.0079171483870967	0.0075296213925327	0.0093178094853683	0.0	0.0	0.0222301988130563	0.0181614454637096	0.0016266446516192	0.00112132875	0.0014970672709923	0.0018892589041095	0.00198264047384	0.0029136517475728	0.0197727068535825	0.0115091365244536	0.0105193244023904	0.0125863075598086	0.0026147458252427	0.0038738637550199996	0.0020274060903732	0.0044760964181994	0.0169748607515657	0.0166943285714285	0.0048994689621726	0.016453687800000002	0.0007786306796116	0.0	0.0029037749271137	0.0044840345962113	0.0022914748208802	0.005653726705653	0.0167179420233463	0.0104762581371545	0.0069966688800792	0.0055428030815109	0.0173665386763185	0.0080396835153922	0.0	0.0021465539419087	0.0	0.0006477996011964	0.0012639709844559	0.0012593887573964	0.0019112734020618	0.0	0.0077771190338164	0.0132533624612202	0.0	0.0	0.0051986363261093	0.0048377886363636	0.0152977889669007	0.0105938444123314	0.0039321837186897	0.0065152850834151	0.0	0.0	0.0041025970010341	0.0056241682587064	0.0014790647943831	0.0028618857847976	0.0072012180830039	0.0059858675568743	0.0	0.0	0.0085353170061099	0.0029096635610766	0.011545990325764999	0.00817239875	0.0112636601020408	0.0058589930399181	0.0045222756944444	0.0010591351106639	0.0050923081165452	0.0041496739257812	0.0032867766769865	0.0020398546360917	0.0027137772088353	0.0	0.0044798194202898	0.0034173808447937	0.004083998510427	0.0012104612163509	0.0035855611660079	0.0012715440158259	0.0	0.0	0.001582911022044	0.0	0.0044271902056807	0.0038346282024793	0.0011727419117647	0.0009975016377649	0.0	0.0008686243564356	0.0016671359483614	0.0008528752964426	0.0043820876811594	0.0298815106339468
10-Hydroxydecanoic acid	0.0016852949596774	0.0012490321011673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004519613333333	0.0	0.00121568834476	0.0	0.0	0.0011794362591431	0.0	0.0	0.0011024951597289	0.0	0.0011619339717741	0.0004968305118109999	0.0	0.0	0.0	0.000471249083503	0.0	0.0	0.0005289823416506	0.0	0.0010081936475409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006783585877862	0.0	0.0009491754195459	0.0	0.0015660613707165	0.0006145295525494	0.0	0.0	0.0	0.0	0.0	0.0009153547918683	0.0	0.0	0.0	0.0	0.0010594261165048	0.0	0.0007281106899902	0.0	0.0	0.0	0.0008975497081712	0.0016749977482088	0.0009376866204162	0.0	0.0	0.0043343421052631	0.0009812567567567	0.001258718879668	0.0025548644696189	0.0008012257228315	0.0	0.0	0.0006011930927835	0.0011587292682926	0.0	0.001127247156153	0.0	0.0018175282480314	0.0	0.0	0.0	0.0	0.0	0.0	0.0009700714426877	0.0	0.0006479618407445	0.0014210191044776	0.0006677388164493	0.0	0.0008883490118577	0.0	0.0	0.000822879303675	0.0	0.0	0.0	0.0	0.0012104456122448	0.0022970775844421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006932129468599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009301518811881	0.0	0.000967099604743	0.0	0.0005924952965235
11-Aminoundecanoic acid	0.0036401876008064	0.0017415989299610002	0.0035420296981499	0.0019667303238469	0.0029549859060402	0.0027519761431411	0.0035409808133472	0.0022584183316168	0.0034273214213197	0.0020704587548638	0.0028115232820512	0.0027317755710029	0.0017484599412339998	0.0027145234892787	0.001397890982776	0.0019373746081504	0.0017088978744939	0.0018927175889328	0.0027712465634075	0.0048201069556451	0.0025030745967741	0.0011040893700787	0.0036166362823061	0.0038402838912133	0.002335602346041	0.0041567549898167	0.0026801677134445	0.0023582509108341	0.0029851319577735	0.0037564117708333	0.0015766618852459	0.0029023860977948	0.002480076	0.0031477091610414	0.0036829237461617	0.0028645906249999	0.0022519426841574	0.0028528653884964	0.0015021938430983	0.0018821447876447	0.0018175131552917	0.0021566817540322	0.0015831018645731	0.0032639653125	0.0027488204198473	0.0028640528375733	0.0018546506416584	0.0027707748543689	0.0020372431983385	0.0029326417273673	0.0030072705179282	0.0031227955980861	0.0031578337864077	0.0027639434738955	0.0021651845776031	0.0	0.0026480555323589996	0.0019261150631681	0.0022061818622696	0.0019974114000000003	0.0022424700970873	0.0031905420059582	0.0019290324586977	0.0024853646061814	0.0026575933469805	0.0021910470760233	0.001353990077821	0.0010721772773797	0.0029449582755203	0.0031002097415506	0.0	0.0025612588877855	0.0016809384169884	0.0025507874481327	0.0020655121524201	0.0017800755732801	0.0040282633160621	0.0023833639053254	0.005343356185567001	0.0012276449756097	0.0029346044444444	0.0011855886246122	0.0030912181544633	0.0011058511811023	0.0026957379772961	0.0021230641304347	0.0036741620862587	0.0015101669556839999	0.0030267316955683	0.0025452992149165	0.0008321212450592	0.0018698828460038	0.0	0.0030803098507462	0.0016255679037111	0.0015372878578479	0.0022198925889328	0.0019345726013847	0.0018832788732394	0.002133798549323	0.0031879908350305	0.0	0.003426932082922	0.003158728076923	0.0019006786734693	0.0017798973387922	0.0033443691468253	0.0034082460764587	0.004516642767949999	0.0039253688476562	0.00304731124871	0.0034976904287138	0.0024233244979919	0.0019286557956778	0.0019038220289855	0.0007043766208251	0.0027570701092353	0.0037524246261216	0.0033034672924901	0.0025902943620178	0.0	0.0018858696793002	0.0022562683366733	0.0028486724652087	0.0021901943192948	0.0037966934917355	0.0026986892857142	0.0024660223506743	0.0025416537644787	0.0023639222772277	0.0019859278053624	0.0017093825098814	0.0029473981366459	0.0031106786298568
